,ID_SIR_TMJ,X_DEPART,X_FIN,Y_DEPART,Y_FIN,Z_DEPART,Z_FIN,AXE,CUMULD,CUMULF,PLOD,ABSD,PLOF,ABSF,TYPE_CPT,SENS,LIBELLE,LOCALISATI,COMMUNE,CODEINSEE,CATEGORIE,ROUTE,PLOC,ABSC,CUMULC,LATITUDE,LONGITUDE,DERNANCPT,ANNEE_N,MJATVTCJN,MJAPLTCJN,MJAPPLTCJN,COTE,EMPLACEMEN,VOIE,DISTANCE
142,690,376330.0917,375719.3651,6757283.2808,6759757.3034,0.0,0.0,D173,9689,12278,9,680,12,218,Permanent,3,Angers - Rennes,D173_RETIERS bis,COESMES,35082,A,35 D173,15,570,6246,47.8807801,-1.3636768,2021,2021,8866,1784,20.12,,,0,
143,721,391168.08,388949.2739,6799745.172,6793868.5817,0.0,0.0,D178,6236,12829,6,279,12,770,Temporaire,3,D209 - DEBUT 2X2,BALAZE,BALAZE,35015,B,35 D178,9,360,0,48.2005001,-1.1817894,2021,2021,5083,568,11.17,,,0,
144,695,357905.7208,356847.0906,6775435.3401,6781573.8267,0.0,0.0,D173,37400,43801,37,278,43,685,Permanent,3,Janzé - Rennes,D173_EX.OA,VERN-SUR-SEICHE,35352,A,35 D173,43,77,0,48.03964,-1.60368,2021,2021,27068,2903,10.73,,,0,
145,795,326945.2357,326465.0841,6846791.9658,6844480.7142,0.0,0.0,D266,1491,3620,2,1061,4,886,Temporaire,3,D168 - D64,PLEURTUIT,PLEURTUIT,35228,B,35 D266,4,0,0,48.5854116,-2.0696274,2021,2021,12145,393,3.24,,,0,
146,796,326465.0841,326362.0646,6844480.7142,6841939.5929,0.0,0.0,D266,3620,6424,4,886,7,600,Permanent,3,Dinard - Dinan,D266.PLEURTUIT,PLEURTUIT,35228,B,35 D266,7,560,0,48.56992,-2.06843,2021,2021,9064,482,5.31,,,0,
147,819,344967.3614,343244.0462,6790810.6662,6786134.337,0.0,0.0,D288,1889,6940,1,888,7,192,Permanent,3,Pacé - Chavagne,D288_OI.OH (Le Rheu),LE RHEU,35240,A,35 D288,3,800,0,48.10555,-1.77943,2021,2021,15430,1623,10.52,,,0,
148,850,333890.5863,336342.4882,6838192.8639,6840085.5979,0.0,0.0,D366,1063,4387,0,1063,4,226,Temporaire,3,Dép.22 - D74,LA VILLE ES NONAIS,LA VILLE-ES-NONAIS,35358,C,35 D366,1,0,0,0.0,0.0,2021,2021,2052,50,2.42,,,0,
149,156,345335.2959,350600.1775,6792722.6803,6794232.6071,0.0,0.0,D29,0,5742,0,0,5,798,Permanent,3,Pacé - St Grégoire,D29_OI.OJ,MONTGERMONT,35189,A,35 D29,4,900,0,48.1506967,-1.7115576,2021,2021,16688,756,4.53,,,0,
150,157,350639.8044,351489.7402,6794266.795,6794913.4637,0.0,0.0,D29,5742,6882,5,798,7,63,Permanent,3,Pacé - Betton,D29_OL.OK,SAINT-GREGOIRE,35278,A,35 D29,6,380,0,48.1583565,-1.6974307,2021,2021,18360,844,4.6,,,0,
151,159,354587.3145,356239.7407,6794528.3974,6793909.0017,0.0,0.0,D29,10117,11854,10,291,13,124,Permanent,3,Pacé - St Sulpice,D29_ON.OM,BETTON,35024,A,35 D29,12,420,0,48.1553336,-1.6300426,2021,2021,12880,627,4.87,,,0,
